"Name","Description","ref","position","fatalities","date","time","postcode","borough","area","notes"
"V1.289","p122, Woolwich Dockyard (The Thames)","p122, Woolwich Dockyard (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.290","p122, Woolwich Dockyard (The Thames)","p122, Woolwich Dockyard (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.291","p122, Woolwich Dockyard (The Thames)","p122, Woolwich Dockyard (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.292","p123, Woolwich (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.293","p127, Nigel Playfair's Avenue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.294","p127, Hammersmith",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.295","p128, Hammersmith","p143, Anchor and Hope Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.296","p129, Edith Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.297","p129, Beaumont Crescent",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.298","p129, Philbeach Gardens","p129, Philbeach Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.299","p129, Nevern Square","p129, Nevern Square",NA,NA,NA,NA,NA,NA,NA,NA
"V1.300","p129, Disbrowe Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.301","p129, Normand Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.302","p129, Racton Road","p129, Racton Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.303","p129, St. Olaf's Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.304","p129, Effie Road","p129, Effie Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.305","p130, Brompton Cemetery","p130, Brompton Cemetery",NA,NA,NA,NA,NA,NA,NA,NA
"V1.306","p130, Brechin Place","p130, Brechin Place",NA,NA,NA,NA,NA,NA,NA,NA
"V1.307","p131, Pelham Crescent","p131, Pelham Crescent",NA,NA,NA,NA,NA,NA,NA,NA
"V1.308","p131, Chelsea (The Thames)","p131, Chelsea (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.309","p131, Battersea (The Thames)","p131, Battersea (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.310","p131, Radstock Street","p131, Radstock Street","Howie Street at junction with Radstock Street",2,"30/06/1944",18:16:00,"SW11","Battersea","Battersea","V1 demolished 10 houses and badly damaged a further 40"
"V1.311","p132, Turk's Row","p132, Turk's Row",NA,NA,NA,NA,NA,NA,NA,NA
"V1.312","p132, Battersea Park","p132, Battersea Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.313","p132, Peabody Avenue","p132, Peabody Avenue",NA,NA,NA,NA,NA,NA,NA,NA
"V1.314","p133, Turpentine Lane","p133, Turpentine Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.315","p133, Winchester Street","p133, Winchester Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.316","p133, Grosvenor Road","p133, Grosvenor Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.317","p133, Regency Street","p133, Regency Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.318","p133, Vauxhall Bridge (The Thames)","p133, Vauxhall Bridge (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.319","p133, Nine Elms","p133, Nine Elms",NA,NA,NA,NA,NA,NA,NA,NA
"V1.320","p133, Nine Elms","p133, Nine Elms",NA,NA,NA,NA,NA,NA,NA,NA
"V1.321","p133, Wyvil Road","p133, Wyvil Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.322","p133, Wilcox Road","p133, Wilcox Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.323","p134, Vauxhall Park","p134, Vauxhall Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.324","p134, Fentiman Road","p134, Fentiman Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.325","p134, Richborne Terrace","p134, Richborne Terrace",NA,NA,NA,NA,NA,NA,NA,NA
"V1.326","p134, The Oval","p134, The Oval",NA,NA,NA,NA,NA,NA,NA,NA
"V1.327","p134, Clapham Road","p134, Clapham Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.328","p134, Montford Place","p134, Montford Place",NA,NA,NA,NA,NA,NA,NA,NA
"V1.329","p134, Kennington Lane","p134, Kennington Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.330","p134, Vauxhall Street","p134, Vauxhall Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.331","p135, Camberwell New Road","p135, Camberwell New Road","Brixton Road Cambewell New Road junction SE Quad",2,"16/07/1944",10:25:00,"SW9","Lambeth","Kennington","The V1 struck Brixton Road and Camberwell New Road. A range of buildings used as workrooms,office and stores suffered severe damage"
"V1.332","p135, Stannary Street","p135, Stannary Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.333","p135, Kennington","p135, Kennington",NA,NA,NA,NA,NA,NA,NA,NA
"V1.334","p135, Holyoak Road","p135, Holyoak Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.335","p135, Holyoak Road","p135, Holyoak Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.336","p135, Delverton Road","p135, Delverton Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.337","p135, Manor Place","p135, Manor Place",NA,NA,NA,NA,NA,NA,NA,NA
"V1.338","p135, Penrose Street","p135, Penrose Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.339","p135, Bronti Close","p135, Bronti Close",NA,NA,NA,NA,NA,NA,NA,NA
"V1.340","p135, Sutherland Square","p135, Sutherland Square",NA,NA,NA,NA,NA,NA,NA,NA
"V1.341","p135, Camberwell","p135, Camberwell",NA,NA,NA,NA,NA,NA,NA,NA
"V1.342","p135, Albany Road","p135, Albany Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.343","p136, Phelp Street","p136, Phelp Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.344","p136, Dawes Street","p136, Dawes Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.345","p136, Walworth","p136, Walworth",NA,NA,NA,NA,NA,NA,NA,NA
"V1.346","p136, Walworth","p136, Walworth",NA,NA,NA,NA,NA,NA,NA,NA
"V1.347","p136, Parkhouse Street","p136, Parkhouse Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.348","p137, Pennack Road","p137, Pennack Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.349","p137, Willowbrook Road","p137, Willowbrook Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.350","p137, Haymerle Road","p137, Haymerle Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.351","p137, Frensham Street","p137, Frensham Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.352","p137, Bird in Bush","p137, Bird in Bush",NA,NA,NA,NA,NA,NA,NA,NA
"V1.353","p137, Green Hundred Road","p137, Green Hundred Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.354","p137, Rolls Road","p137, Rolls Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.355","p137, Raymouth Road","p137, Raymouth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.356","p137, Radnor Road","p137, Radnor Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.357","p138, Record Street","p138, Record Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.358","p138, New Cross (railway)","p138, New Cross (railway)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.359","p138, Cold Blow Lane","p138, Cold Blow Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.360","p138, New Cross (railway)","p138, New Cross (railway)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.361","p138, Bolina Road","p138, Bolina Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.362","p138, Bush Road","p138, Bush Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.363","p138, Croft Street","p138, Croft Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.364","p139, Evelyn Street","p139, Evelyn Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.365","p139, Gosterwood Street","p139, Gosterwood Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.366","p139, Vansittart Street","p139, Vansittart Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.367","p139, Arklow Road","p139, Arklow Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.368","p139, Sayes Court Street","p139, Sayes Court Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.369","p139, Czar Street","p139, Czar Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.370","p139, Watergate Street","p139, Watergate Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.371","p139, Watergate Street","p139, Watergate Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.372","p139, Deptford Green","p139, Deptford Green",NA,NA,NA,NA,NA,NA,NA,NA
"V1.373","p139, Deptford","p139, Deptford",NA,NA,NA,NA,NA,NA,NA,NA
"V1.374","p139, Deptford","p139, Deptford",NA,NA,NA,NA,NA,NA,NA,NA
"V1.375","p139, Deptford","p139, Deptford",NA,NA,NA,NA,NA,NA,NA,NA
"V1.376","p139, Plough Way","p139, Plough Way",NA,NA,NA,NA,NA,NA,NA,NA
"V1.377","p139, Deptford (The Thames)","p139, Deptford (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.378","p140, Millwall (The Thames)","p140, Millwall (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.379","p140, Westferry Road","p140, Westferry Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.380","p140, Millwall (The Thames)","p140, Millwall (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.381","p140, Greenwich","p140, Greenwich",NA,NA,NA,NA,NA,NA,NA,NA
"V1.382","p140, South Church Street","p140, South Church Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.383","p140, Norman Road","p140, Norman Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.384","p141, Park Row","p141, Park Row",NA,NA,NA,NA,NA,NA,NA,NA
"V1.385","p141, Park Row","p141, Park Row",NA,NA,NA,NA,NA,NA,NA,NA
"V1.386","p141, Mell Street","p141, Mell Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.387","p141, North Greenwich","p141, North Greenwich",NA,NA,NA,NA,NA,NA,NA,NA
"V1.388","p141, North Greenwich","p141, North Greenwich",NA,NA,NA,NA,NA,NA,NA,NA
"V1.389","p142, Dupree Road","p142, Dupree Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.390","p142, Charlton","p142, Charlton",NA,NA,NA,NA,NA,NA,NA,NA
"V1.391","p142, North Greenwich","p142, North Greenwich",NA,NA,NA,NA,NA,NA,NA,NA
"V1.392","p142, Anchor and Hope Lane","p142, Anchor and Hope Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.393","p142, Beaconsfield Road","p142, Beaconsfield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.394","p142, Hardy Road","p142, Hardy Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.295","p143, Anchor and Hope Lane","p143, Anchor and Hope Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.396","p143, Delafield Road","p143, Delafield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.397","p143, Mascalls Road","p143, Mascalls Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.398","p143, Charlton Road","p143, Charlton Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.399","p143, Canberra Road","p143, Canberra Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.400","p143, Charlton Park","p143, Charlton Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.401","p143, Charlton Park","p143, Charlton Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.402","p143, Kinveachy Gardens","p143, Kinveachy Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.403","p143, Eastmoor Place","p143, Eastmoor Place",NA,NA,NA,NA,NA,NA,NA,NA
"V1.404","p144, Academy Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.405","p145, Nightingale Vale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.406","p145, Eglinton Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.407","p145, Barnfield Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.408","p145, Wrottesley Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.409","p145, Sandbach Place",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.410","p146, Heavitree Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.411","p146, Bassant Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.412","p146, Bassant Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.413","p146, Tewson Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.414","p146, Hylton Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.415","p147, Woodhurst Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.416","p147, Smithies Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.417","p147, Bostall Woods",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.418","p148, Bostall Heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.419","p150, Putney Lower Common",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.420","p151, Putney Bridge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.421","p151, Reporton Road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.422","p151, Barclay Road","p151, Barclay Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.423","p151, Peterborough Road","p151, Peterborough Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.424","p152, Avalon Road","p152, Avalon Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.425","p152, Imperial Wharf","p152, Imperial Wharf",NA,NA,NA,NA,NA,NA,NA,NA
"V1.426","p152, Imperial Wharf (The Thames)","p152, Imperial Wharf (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.427","p152, Cotton Row (The Thames)","p152, Cotton Row (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.428","p152, Cotton Row (The Thames)","p152, Cotton Row (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.429","p153, Chelsea Harbour (The Thames)","p153, Chelsea Harbour (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.430","p153, Battersea Reach (The Thames)","p153, Battersea Reach (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA
"V1.431","p153, Cotton Row","p153, Cotton Row",NA,NA,NA,NA,NA,NA,NA,NA
"V1.432","p153, Gwynne Road","p153, Gwynne Road","The junction of the High St and Gwynne Road (around 110 High St)",3,"18/06/1944",05:42:00,"SW11","Battersea","Battersea","V1 Destroyed 110 High St and also damaged a van and some timber"
"V1.433","p153, Petworth Street","p153, Petworth Street","Petworth Street East side junction with Bolan Street",9,"21/06/1944",01:03:00,"SW11","Battersea","Battersea","The V1 demolished 6 houses and damaged 20 others"
"V1.434","p153, Battersea Park","p153, Battersea Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.435","p153, Batten Street","p153, Batten Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.436","p154, Battersea Park","p154, Battersea Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.437","p154, Prince of Wales Drive","p154, Prince of Wales Drive",NA,NA,NA,NA,NA,NA,NA,NA
"V1.438","p154, Lurline Gardens","p154, Lurline Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.439","p154, Broughton Street","p154, Broughton Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.440","p154, Brassey Square","p154, Brassey Square",NA,NA,NA,NA,NA,NA,NA,NA
"V1.441","p154, Montefiore Street","p154, Montefiore Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.442","p155, Queenstown Road","p155, Queenstown Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.443","p155, Corunna Terrace","p155, Corunna Terrace",NA,NA,NA,NA,NA,NA,NA,NA
"V1.444","p155, Corunna Road","p155, Corunna Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.445","p155, Wandsworth Road","p155, Wandsworth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.446","p155, Wandsworth Road","p155, Wandsworth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.447","p155, Fount Street","p155, Fount Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.448","p155, Larkhall Lane","p155, Larkhall Lane",NA,NA,NA,NA,NA,NA,NA,NA
"V1.449","p155, Clarence Walk","p155, Clarence Walk","Paradise Road Clarence walk junction SW quad",1,"29/07/1944",00:20:00,"SW4","Lambeth","Clapham","The V1 fell in Paradise Road. Stockwell Methodist Church Hall was damaged."
"V1.450","p155, Gauden Road","p155, Gauden Road","Gauden Road",11,"27/06/1944",00:20:00,"SW4","Lambeth","Clapham","1 of 2 V1's in Gauden Road. I cannot ascertain which date matches which location. One fell at the Station end, the other on the North side by Broomfield Road junction."
"V1.451","p155, Gauden Road","p155, Gauden Road","Gauden Road",1,"28/06/1944",13:50:00,"SW4","Lambeth","Clapham","2nd of 2 V1's in Gauden Road. I cannot ascertain which date matches with location. One fell at the Station end, the other on the North side by Broomfield Road junction."
"V1.452","p155, Clapham High Street","p155, Clapham High Street","Clapham Road clapham north",4,"10/07/1944",02:55:00,"SW9","Lambeth","Clapham","The V1 hit Clapham Road opposite Clapham North Tube. 6 houses were demolished and 20 houses and a Church severely damaged. The area has been re-developed as a housing estate and the church re-built"
"V1.453","p156, Hartington Road","p156, Hartington Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.454","p156, Studley Road","p156, Studley Road","Studley Road",0,"25/06/1944",00:36:00,"SW4","Lambeth","Clapham","The V1 fell in Studley Road. 10 houses were demolished and 30 severely damaged."
"V1.455","p156, Paradise Road","p156, Paradise Road","Paradise Road",0,"29/06/1944",12:06:00,"SW4","Lambeth","Clapham","The V1 fell in Paradise Road and hit a gasometer at the South Metropolitan gas company"
"V1.456","p156, Lorn Road","p156, Lorn Road","Stockwell Park Road by Lorn Road",11,"22/06/1944",06:58:00,"SW9","Lambeth","Stockwell","V1 in Stockwell Park Road by L orn Road."
"V1.457","p156, Sidney Road","p156, Sidney Road","Manor House Road/Sidney Road",4,"27/08/1944",07:18:00,"SW9","Lambeth","Brixton","The V1 hit Manor house road. 20 houses demolished and 30 damaged."
"V1.458","p156, Rumsey Road","p156, Rumsey Road","Rumsey road between Benedict and Speenham Road",5,"16/07/1944",07:47:00,"SW9","Lambeth","Brixton","The V1 struck in Rumsey Road. 12 houses were demolished and 40 damaged."
"V1.459","p157, Loughborough Road","p157, Loughborough Road","BarringtonRoad/Loughborough Road",0,"24/07/1944",00:25:00,"SW9","Lambeth","Brixton","V1 in Barrington Road. No casualties reported. 2 houses demolished and 40 damaged an ews brick and steel dam damaged by blast."
"V1.460","p157, Lowth Road","p157, Lowth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.461","p157, Lothian Road","p157, Lothian Road","Pathos Road/Lothian Street",5,"10/08/1944",21:09:00,"SW9","Lambeth","Brixton","The V1 hit Pathos Road and Lothian Street.8 houses were demolished and 30 badly damaged."
"V1.462","p157, Camberwell Station Road","p157, Camberwell Station Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.463","p157, Medlar Street","p157, Medlar Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.464","p157, Wyndham Road","p157, Wyndham Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.465","p157, Lomond Grove","p157, Lomond Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.466","p158, St Giles Road","p158, St Giles Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.467","p158, Southampton Way","p158, Southampton Way",NA,NA,NA,NA,NA,NA,NA,NA
"V1.468","p158, Pentridge Street","p158, Pentridge Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.469","p158, Camberwell Grove","p158, Camberwell Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.470","p159, Commercial Way","p159, Commercial Way",NA,NA,NA,NA,NA,NA,NA,NA
"V1.471","p159, Mckerrell Road","p159, Mckerrell Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.472","p159, Raul Road","p159, Raul Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.473","p159, Wood's Road","p159, Wood's Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.474","p159, Bidwell Street","p159, Bidwell Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.475","p159, Copeland Road","p159, Copeland Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.476","p159, Stanbury Road","p159, Stanbury Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.477","p159, McDermott Road","p159, McDermott Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.478","p159, Scylla Road","p159, Scylla Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.479","p160, Besson Street","p160, Besson Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.480","p160, Erlanger Road","p160, Erlanger Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.481","p160, Troutbeck Road","p160, Troutbeck Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.482","p160, New Cross Gate","p160, New Cross Gate",NA,NA,NA,NA,NA,NA,NA,NA
"V1.483","p160, Evelina Road","p160, Evelina Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.484","p160, Selden Road","p160, Selden Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.485","p160, Drakefell Road","p160, Drakefell Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.486","p160, Pepys Road","p160, Pepys Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.487","p160, Ommaney Road","p160, Ommaney Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.488","p161, Endwell Road","p161, Endwell Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.489","p161, Millmark Grove","p161, Millmark Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.490","p161, Brockley","p161, Brockley",NA,NA,NA,NA,NA,NA,NA,NA
"V1.491","p161, Cranfield Road","p161, Cranfield Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.492","p161, St Donatts Road","p161, St Donatts Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.493","p161, Achilles Street","p161, Achilles Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.494","p161, Glenville Grove","p161, Glenville Grove",NA,NA,NA,NA,NA,NA,NA,NA
"V1.495","p161, Deptford Church Street","p161, Deptford Church Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.496","p162, Deptford Bridge","p162, Deptford Bridge",NA,NA,NA,NA,NA,NA,NA,NA
